data_extracao,dep_administrativa,tipo,inep,nome,abr_nome,logradouro,numero,bairro,cep,latitude,longitude,telefone,email,url_website,blog,twitter,facebook,reg_conselho_tutelar,desc_reg_conselho_tutelar,reg_orcamento_part,desc_reg_orcamento_part,situacao_funcionamento,convenio_municipal,convenio_estadual,convenio_federal,convenio_fasc,escola_especial,cat_part_privada,cat_part_comunitaria,cat_part_confessional,cat_part_filantropica,mant_empresa_privada,mant_sindicato,mant_sistema_s,mant_ong,mant_apae
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173675,EMEI DO JARDIM SALOMONI                                 ,SALOMONI                      ,R JOAQUIM DE CARVALHO                             ,325,VILA NOVA           ,91740840  ,-30.1165,-51.2205,32464712            ,emei.jardimsalomoni@smed.prefpoa.com.br           ,http://websmed.portoalegre.rs.gov.br/escolas/jardimsalomoni/                                        ,                                                                                                    ,                                                                                                    ,                                                                                                    ,6,CENTRO SUL/SUL             ,12,CENTRO-SUL        ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173667,EMEI DA VILA MAX GEISS                                  ,MAX GEISS                     ,R ANTONIO FRANCISCO LISBOA                        ,400,RUBEM BERTA         ,91180040  ,-30.008,-51.0968,33653448            ,emei.vilamaxgeiss@smed.prefpoa.com.br             ,http://websmed.portoalegre.rs.gov.br/escolas/vilamaxgeiss/                                          ,                                                                                                    ,                                                                                                    ,                                                                                                    ,10,NORDESTE/EIXO BALTAZAR     ,14,EIXO BALTAZAR     ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173659,EMEI MARIA HELENA CAVALHEIRO GUSMÃO                     ,MARIA HELENA                  ,R SILVINO OLIVEIRA                                ,250,VILA NOVA           ,91750057  ,-30.1249,-51.2194,32464821            ,emei.mariahelenagusmao@smed.prefpoa.com.br        ,http://websmed.portoalegre.rs.gov.br/escolas/mhgusmao/                                              ,                                                                                                    ,                                                                                                    ,                                                                                                    ,6,CENTRO SUL/SUL             ,12,CENTRO-SUL        ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173640,EMEI UNIDOS DA PAINEIRA                                 ,PAINEIRA                      ,R TOBIAS BARRETO                                  ,170,PARTENON            ,90660370  ,-30.0605,-51.1942,33156130            ,emei.unidosdapaineira@smed.prefpoa.com.br         ,http://websmed.portoalegre.rs.gov.br/escolas/paineira/                                              ,                                                                                                    ,                                                                                                    ,                                                                                                    ,4,PARTENON                   ,7,PARTENON          ,PARALISADA  ,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173632,EMEI VALE VERDE                                         ,VALE VERDE                    ,BC FRANKLIN                                       ,270,JARDIM SABARÁ       ,91210060  ,-30.0408,-51.1431,33862044            ,emei.valeverde@smed.prefpoa.com.br                ,http://websmed.portoalegre.rs.gov.br/escolas/valeverde/                                             ,                                                                                                    ,                                                                                                    ,                                                                                                    ,3,BOM JESUS/LESTE            ,3,LESTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173624,EMEI DA VILA ELIZABETH                                  ,VILA ELIZABETH                ,R PAULO GOMES DE OLIVEIRA                         ,120,SARANDI             ,91120570  ,-29.9803,-51.1271,33645013            ,emei.vilaelizabeth@smed.prefpoa.com.br            ,http://websmed.portoalegre.rs.gov.br/escolas/vilaelizabeth/                                         ,                                                                                                    ,                                                                                                    ,                                                                                                    ,2,SARANDI/NORTE              ,5,NORTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173616,EMEI DA VILA FLORESTA                                   ,VILA FLORESTA                 ,R MONTE ALEGRE                                    ,55,JARDIM FLORESTA     ,91040120  ,-30.0035,-51.1562,33622088            ,emei.vilafloresta@smed.prefpoa.com.br             ,http://websmed.portoalegre.rs.gov.br/escolas/vilafloresta/                                          ,                                                                                                    ,                                                                                                    ,                                                                                                    ,2,SARANDI/NORTE              ,2,NOROESTE          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173608,EMEI MARIA MARQUES FERNANDES                            ,MARIA MARQUES                 ,AV SANTO DIAS DA SILVA                            ,550,LOMBA DO PINHEIRO   ,91550500  ,-30.0967,-51.1327,33191208            ,emei.mariafernandes@smed.prefpoa.com.br           ,http://websmed.portoalegre.rs.gov.br/escolas/mariamarquesfernandes/                                 ,                                                                                                    ,                                                                                                    ,                                                                                                    ,9,LOMBA DO PINHEIRO/AGRONOMIA,4,LOMBA DO PINHEIRO ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173594,EMEI VILA NOVA                                          ,VILA NOVA                     ,R FERNANDO PESSOA                                 ,350,VILA NOVA           ,91750340  ,-30.1261,-51.2094,32895853            ,emei.vilanova@smed.prefpoa.com.br                 ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,6,CENTRO SUL/SUL             ,15,SUL               ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173586,EMEI DOM LUIZ DE NADAL                                  ,LUIZ DE NADAL                 ,R DR CARLOS NIEDERAUER HOFMEISTER                 ,808,RESTINGA            ,91790020  ,-30.1504,-51.1395,32481410            ,emei.luizdenadal@smed.prefpoa.com.br              ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,7,RESTINGA/EXTREMO-SUL       ,8,RESTINGA          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173578,EMEI FLORÊNCIA VURLOD SOCIAS                            ,FLORENCIA                     ,R TEN ARIZOLY FAGUNDES                            ,250,RESTINGA            ,91790520  ,-30.1536,-51.1433,32501703            ,emei.florenciasocias@smed.prefpoa.com.br          ,http://websmed.portoalegre.rs.gov.br/escolas/florenciavsocias/                                      ,                                                                                                    ,                                                                                                    ,                                                                                                    ,7,RESTINGA/EXTREMO-SUL       ,8,RESTINGA          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173560,EMEI DA VILA NOVA RESTINGA                              ,NOVA RESTINGA                 ,R ALVARO DIFINI                                   ,480,RESTINGA            ,91790560  ,-30.1487,-51.1452,32501600            ,emei.vilanovarestinga@smed.prefpoa.com.br         ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,7,RESTINGA/EXTREMO-SUL       ,8,RESTINGA          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173551,EMEI DA VILA DA PÁSCOA                                  ,VILA DA PÁSCOA                ,R LORIS JOSE ISATTO                               ,0,RUBEM BERTA         ,91160160  ,-29.9928,-51.1067,33673434            ,emei.viladapascoa@smed.prefpoa.com.br             ,http://websmed.portoalegre.rs.gov.br/escolas/vilapascoa/                                            ,                                                                                                    ,                                                                                                    ,                                                                                                    ,2,SARANDI/NORTE              ,5,NORTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173543,EMEI DA VILA TRONCO                                     ,VILA TRONCO                   ,AV MOAB CALDAS                                    ,129,SANTA TEREZA        ,90880310  ,-30.0679,-51.2145,32669519            ,emei.vilatronco@smed.prefpoa.com.br               ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,5,GLÓRIA/CRUZEIRO/CRISTAL    ,10,CRUZEIRO          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173535,EMEI DR WALTER SILBER                                   ,WALTER SILBER                 ,RUA FREI CLEMENTE                                 ,150,VILA SÃO JOSÉ       ,91520260  ,-30.0708,-51.1698,33361893            ,emei.waltersilber@smed.prefpoa.com.br             ,http://websmed.portoalegre.rs.gov.br/escolas/drwaltersilber/                                        ,                                                                                                    ,                                                                                                    ,                                                                                                    ,4,PARTENON                   ,7,PARTENON          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173527,EMEI DOS MUNICIPÁRIOS TIO BARNABÉ                       ,TIO BARNABÉ                   ,R OTTO ERNST MEYER                                ,55,AZENHA              ,90050060  ,-30.0464,-51.2157,32274591            ,emei.tiobarnabe@smed.prefpoa.com.br               ,http://websmed.portoalegre.rs.gov.br/escolas/barnabe/                                               ,                                                                                                    ,                                                                                                    ,                                                                                                    ,8,CENTRO                     ,16,CENTRO            ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173519,EMEI PARQUE DOS MAIAS II                                ,EMEI PARQUE                   ,R AMAURI CAFRUNE                                  ,149,RUBEM BERTA         ,91170075  ,-30.0048,-51.095,33673816            ,emei.parquedosmaias2@smed.prefpoa.com.br          ,http://websmed.portoalegre.rs.gov.br/escolas/parquemaias/parquemaias/                               ,                                                                                                    ,                                                                                                    ,                                                                                                    ,10,NORDESTE/EIXO BALTAZAR     ,5,NORTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173500,EMEI DA VILA NOVA SÃO CARLOS                            ,NOVA SÃO CARLOS               ,C ESTR JOAO DE OLIVEIRA REMIAO                    ,1,LOMBA DO PINHEIRO   ,91560695  ,-30.1107,-51.1106,33191146            ,emei.vilanovasaocarlos@smed.prefpoa.com.br        ,http://websmed.portoalegre.rs.gov.br/escolas/vilanovasaocarlos/                                     ,                                                                                                    ,                                                                                                    ,                                                                                                    ,9,LOMBA DO PINHEIRO/AGRONOMIA,4,LOMBA DO PINHEIRO ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173497,EMEI DA VILA MAPA II                                    ,VILA MAPA II                  ,RUA PEDRO GOLOMBIEWSKI                            ,100,LOMBA DO PINHEIRO   ,91550230  ,-30.0961,-51.1345,33191633            ,emei.vilamapa2@smed.prefpoa.com.br                ,http://websmed.portoalegre.rs.gov.br/escolas/vilamapaii/                                            ,                                                                                                    ,                                                                                                    ,                                                                                                    ,9,LOMBA DO PINHEIRO/AGRONOMIA,4,LOMBA DO PINHEIRO ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43175163,EMEI ILHA DA PINTADA                                    ,ILHA DA PINTADA               ,R GARRUCHOS                                       ,0,ARQUIPÉLAGO         ,90090080  ,-30.0165,-51.2604,32117542            ,emei.ilhadapintada@smed.prefpoa.com.br            ,http://websmed.portoalegre.rs.gov.br/escolas/ilhadapintada/index.htm                                ,                                                                                                    ,                                                                                                    ,                                                                                                    ,1,"ILHAS, HUMAITA/NAVEGANTES  ",17,ILHAS             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173489,EMEI JARDIM CAMAQUÃ                                     ,JARDIM CAMAQUÃ                ,R JARDIM DAS BROMÉLIAS                            ,1,CAMAQUÃ             ,91920400  ,-30.1116,-51.2354,32414986            ,emei.jardimcamaqua@smed.prefpoa.com.br            ,http://websmed.portoalegre.rs.gov.br/escolas/camaqua/index.htm                                      ,                                                                                                    ,                                                                                                    ,                                                                                                    ,6,CENTRO SUL/SUL             ,12,CENTRO-SUL        ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173470,EMEI PADRE ÂNGELO COSTA                                 ,PE ÂNGELO COSTA               ,RUA PRIMEIRO DE MARÇO                             ,300,VILA SÃO JOSÉ       ,91520620  ,-30.066,-51.1676,33183108            ,emei.angelocosta@smed.prefpoa.com.br              ,http://websmed.portoalegre.rs.gov.br/escolas/padreangelocosta/                                      ,                                                                                                    ,                                                                                                    ,                                                                                                    ,4,PARTENON                   ,7,PARTENON          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173462,EMEI PROTÁSIO ALVES                                     ,PROTÁSIO ALVES                ,R ARACY FROES                                     ,210,JARDIM SABARÁ       ,91210230  ,-30.0395,-51.1443,33383510            ,emei.protasioalves@smed.prefpoa.com.br            ,http://websmed.portoalegre.rs.gov.br/escolas/protasioalves/index.htm                                ,                                                                                                    ,                                                                                                    ,                                                                                                    ,3,BOM JESUS/LESTE            ,3,LESTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43173454,EMEI NOVA GLEBA                                         ,NOVA GLEBA                    ,R GUIDO ALBERTO WERLANG                           ,747,RUBEM BERTA         ,91170300  ,-29.9991,-51.0934,33674007            ,emei.novagleba@smed.prefpoa.com.br                ,http://websmed.portoalegre.rs.gov.br/escolas/novagleba                                              ,                                                                                                    ,                                                                                                    ,                                                                                                    ,10,NORDESTE/EIXO BALTAZAR     ,5,NORTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43175155,EMEI DA VILA SANTA ROSA                                 ,SANTA ROSA                    ,AV DONARIO BRAGA                                  ,1,RUBEM BERTA         ,91160360  ,-29.998,-51.1032,33876499            ,emei.vilasantarosa@smed.prefpoa.com.br            ,http://websmed.portoalegre.rs.gov.br/escolas/vilasantarosa/                                         ,                                                                                                    ,                                                                                                    ,                                                                                                    ,10,NORDESTE/EIXO BALTAZAR     ,5,NORTE             ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43175147,EMEI HUMAITÁ                                            ,HUMAITÁ                       ,RUA DR CAIO BRANDÃO DE MELLO                      ,1,HUMAITÁ             ,90250110  ,-29.9804,-51.1855,33744223            ,emei.humaita@smed.prefpoa.com.br                  ,http://websmed.portoalegre.rs.gov.br/escolas/humaita                                                ,                                                                                                    ,                                                                                                    ,                                                                                                    ,1,"ILHAS, HUMAITA/NAVEGANTES  ",1,HUMAITÁ/NAVEGANTES,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43175139,EMEI PONTA GROSSA                                       ,PONTA GROSSA                  ,ESTR RETIRO DA PONTA GROSSA                       ,3581,PONTA GROSSA        ,91780590  ,-30.185,-51.2103,32464812            ,emei.pontagrossa@smed.prefpoa.com.br              ,http://websmed.portoalegre.rs.gov.br/escolas/pgrossa/                                               ,                                                                                                    ,                                                                                                    ,                                                                                                    ,7,RESTINGA/EXTREMO-SUL       ,13,EXTREMO SUL       ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43177026,EMEI DA VILA VALNERI ANTUNES                            ,VALNERI                       ,AV MARTIM FELIX BERTA                             ,2353,RUBEM BERTA         ,91270650  ,-30.0304,-51.112,33876077            ,emei.vilavalneriantunes@smed.prefpoa.com.br       ,http://websmed.portoalegre.rs.gov.br/escolas/valneriantunes/                                        ,                                                                                                    ,                                                                                                    ,                                                                                                    ,10,NORDESTE/EIXO BALTAZAR     ,6,NORDESTE          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
2019-09-27 13:51:04,MUNICIPAL   ,EDUCAÇÃO INFANTIL                                                                         ,43181112,EMEI OSMAR DOS SANTOS FREITAS                           ,OSMAR FREITAS                 ,BC UM RUA DONA OTILIA                             ,497,SANTA TEREZA        ,90830582  ,-30.0805,-51.2279,32666766            ,emei.osmarfreitas@smed.prefpoa.com.br             ,http://websmed.portoalegre.rs.gov.br/escolas/osmarsantos/                                           ,                                                                                                    ,                                                                                                    ,                                                                                                    ,5,GLÓRIA/CRUZEIRO/CRISTAL    ,10,CRUZEIRO          ,EM ATIVIDADE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO
