Inep,Logradouro,Numero,Bairro,Cep,Email
43175139,ESTR RETIRO DA PONTA GROSSA                       ,3581,PONTA GROSSA        ,91780590,emei.pontagrossa@smed.prefpoa.com.br              
43177026,AV MARTIM FELIX BERTA                             ,2353,RUBEM BERTA         ,91270650,emei.vilavalneriantunes@smed.prefpoa.com.br       
43181112,BC UM RUA DONA OTILIA                             ,497,SANTA TEREZA        ,90830582,emei.osmarfreitas@smed.prefpoa.com.br             
43181376,AV MERIDIONAL                                     ,0,RESTINGA            ,91790070,emei.paulofreire@smed.prefpoa.com.br              
43185401,AV BENTO GONCALVES                                ,642,AZENHA              ,90650000,mamaecoruja@smed.prefpoa.com.br                   
43048196,R ARMANDO COSTA                                   ,0,SARANDI             ,91120450,miguelvelasquez@smed.prefpoa.com.br               
43141790,R SANTO EXPEDITO                                  ,0,RUBEM BERTA         ,91180265,liaf.fadini@smed.prefpoa.com.br                   
43105440,R GUAIBA - LOMBA DO PINHEIRO                      ,203,LOMBA DO PINHEIRO   ,91560640,emef.afonsoguerreiro@smed.prefpoa.com.br          
43107842,R TEN ARIZOLY FAGUNDES                            ,250,RESTINGA            ,91790520,emef.albertopasqualini@smed.prefpoa.com.br        
43105459,RUA PADRE ANGELO COSTA                            ,175,PARTENON            ,91520161,emef.america@smed.prefpoa.com.br                  
43105467,R CHICO PEDRO                                     ,390,CAMAQUÃ             ,91910650,emef.aramysilva@smed.prefpoa.com.br               
43105475,R CRISTOVAO JAQUES                                ,488,SARANDI             ,91140420,emef.deciocosta@smed.prefpoa.com.br               
43105483,R DR CARLOS NIEDERAUER HOFMEISTER                 ,85,RESTINGA            ,91790020,emef.dolorescaldas@smed.prefpoa.com.br            
43109071,R MORRO ALTO                                      ,433,IPANEMA             ,91751650,emef.gilbertojorge@hotmail.com                    
43108571,R WOLFRAM METZLER                                 ,600,RUBEM BERTA         ,91250320,emef.grandeoriente@smed.prefpoa.com.br            
43107508,R JAYME CYRINO MACHADO DE OLIVEIRA                ,250,STA ROSA LIMA       ,91160060,emef.ildomeneghetti@smed.prefpoa.com.br           
43105491,AV CAPIVARI                                       ,1999,CRISTAL             ,90810070,emef.loureiro@escolas.prefpoa.com.br              
43108563,R JOAO LUIZ PUFAL                                 ,100,SARANDI             ,91120530,emef.joaogoulart@smed.prefpoa.com.br              
43109055,RUA SAUL CONSTANTINO VL SJ COMUNITÁRIA            ,100,VILA SÃO JOSÉ       ,91520716,emef.judithdearaujo@smed.prefpoa.com.br           
43109098,AV ECON NILO WULFF                                ,1000,RESTINGA            ,91790000,emef.larry@smed.prefpoa.com.br                    
43109063,R ROMEU DE VASCONCELLOS ROSA                      ,10,VILA NOVA           ,91751370,emef.leocadiaprestes@smed.prefpoa.com.br          
43105505,R XAVIER DE CARVALHO                              ,274,SARANDI             ,91110440,emeb.liberatosalzano@smed.prefpoa.com.br          
43109101,R CONEGO PAULO ISIDORO DE NADAL                   ,1,SANTA TEREZA        ,90830540,emef.martimaranha@smed.prefpoa.com.br             
43105513,R A VILA N S FATIMA-DIVINEIA                      ,15,BOM JESUS           ,91420701,emef.fatima@smed.prefpoa.com.br                   
43105521,R ESTADIO                                         ,29,PASSO DAS PEDRAS    ,91230030,emef.pepitadeleao@smed.prefpoa.com.br             
43105530,RUA ANA AURORA DO AMARAL LISBOA                   ,60,PASSO DAS PEDRAS    ,91230000,emef.presidentevargas@smed.prefpoa.com.br         
43105548,AV SANTO DIAS DA SILVA                            ,1,LOMBA DO PINHEIRO   ,91550500,emef.villalobos@smed.prefpoa.com.br               
43109217,AV GAMAL ABDEL NASSER                             ,500,RUBEM BERTA         ,91170001,emef.joaosatte@smed.prefpoa.com.br                
43109195,AV MARIO MENEGHETTI                               ,1000,MORRO SANTANA       ,91260190,emef.anairis@smed.prefpoa.com.br                  
43169490,AV JOAQUIM PORTO VILLANOVA                        ,135,JARDIM CARVALHO     ,91410400,emef.marianobeck@smed.prefpoa.com.br              
43109080,R ABOLICAO                                        ,1,RESTINGA            ,91790130,emef.pessoadebrum@smed.prefpoa.com.br             
43179002,R BUTUI                                           ,221,CRISTAL             ,90820150,emeef.elyseupaglioli@smed.prefpoa.com.br          
43109233,AV ENG LUDOLFO BOEHL                              ,1402,CASCATA             ,91720150,emef.gabrielobino@smed.prefpoa.com.br             
43172482,RUA DR CAIO BRANDÃO DE MELLO                      ,1,HUMAITÁ             ,90250110,emef.antoniogiudice@smed.prefpoa.com.br           
43109209,R DR MARINO ABRAHAO                               ,240,PASSO DAS PEDRAS    ,91230260,emef.laurorodrigues@smed.prefpoa.com.br           
43109144,R MANOEL FARIA DA ROSA PRIMO                      ,940,RESTINGA            ,91790770,escolalidovinofanton@gmail.com                    
43178995,R SAO JOSEMARIA ESCRIVA                           ,0,JARDIM DO SALSO     ,91410000,emeef.lygiaaverbuck@smed.prefpoa.com.br           
43109128,RUA SAIBREIRA                                     ,1,CORONEL APARÍCIO BOR,91510350,emef.marcirioloureiro@smed.prefpoa.com.br         
43109225,R DEZENOVE DE FEVEREIRO                           ,330,MARIO QUINTANA      ,91270450,emef.victorissler@smed.prefpoa.com.br             
43179010,R CLAUDIO MANOEL DA COSTA                         ,270,JARDIM SABARÁ       ,91210250,emeef.lucenaborges@smed.prefpoa.com.br            
43172474,AV MAJOR MANOEL JOSE MONTEIRO                     ,1,RUBEM BERTA         ,91170570,emef.jeanpiaget@smed.prefpoa.com.br               
43172490,RUA FRANCISCO MATTOS TERRES                       ,40,HÍPICA              ,91755070,emef.anisioteixeira@smed.prefpoa.com.br           
43179029,AV ECON NILO WULFF                                ,955,RESTINGA            ,91790000,emeef.tristaovianna@smed.prefpoa.com.br           
43167535,AV DEPUTADO ADÃO PRETTO                           ,1190,LOMBA DO PINHEIRO   ,91570730,emef.saopedro@smed.prefpoa.com.br                 
43167179,R GERVAZIO BRAGA PINHEIRO                         ,427,LOMBA DO PINHEIRO   ,91570490,emef.sainthilaire@smed.prefpoa.com.br             
43173721,R IRMA INES FAVERO                                ,1,MARIO QUINTANA      ,91250095,emef.wenceslaufontoura@smed.prefpoa.com.br        
43173713,BC IMPERIO                                        ,75,VILA NOVA           ,91787415,emef.camposdocristal@smed.prefpoa.com.br          
43177018,AVENIDA SEVERO DULLIUS                            ,165,ANCHIETA            ,90200310,emef.migrantes@smed.prefpoa.com.br                
43175120,RUA CARLOS SUPERTI                                ,84,VILA NOVA           ,91750020,emef.montecristo@smed.prefpoa.com.br              
43177034,RUA SANTA TERESA VILA SÃO JOSÉ COMUNITÁRIA        ,541,VILA SÃO JOSÉ       ,91520713,emef.morrodacruz@smed.prefpoa.com.br              
43177042,R MONSENHOR RUBEN NEIS                            ,430,CAVALHADA           ,91920243,emef.neusabrizola@smed.prefpoa.com.br             
43177050,R WASHINGTON LUIZ                                 ,203,CENTRO HISTÓRICO    ,90010160,emef.portoalegre@smed.prefpoa.com.br              
43177581,R GENTIL AMANCIO CLEMENTE                         ,1,MORRO SANTANA       ,91270315,emef.chicomendes@smed.prefpoa.com.br              
43183018,R C VILA CASTELO                                  ,1,RESTINGA            ,91790200,emef.marioquintana@smed.prefpoa.com.br            
43187560,AV JUCA BATISTA                                   ,0,CHAPÉU DO SOL       ,91786300,emef.chapeudosol@smed.prefpoa.com.br              
43189253,RUA SEIS                                          ,0,MARIO QUINTANA      ,91250000,emef.timbauva@smed.prefpoa.com.br                 
43204643,R BISPO MARINO PRUDENCIO MOREIRA                  ,95,RESTINGA            ,91790206,emefdocarmo@hotmail.com                           
43241000,R CAPITAO PEDRO WERLANG                           ,1011,PARTENON            ,91530110,salomao@pmpa.ad                                   
43293050,BC UM RUA LUIZ OTAVIO                             ,347,BELÉM VELHO         ,91787331,emef.rincao@smed.prefpoa.com.br                   
43293069,R GERALDO TOLLENS LINCK                           ,0,HÍPICA              ,91787214,moradasdahipica@gmail.com                         
43048200,RUA AMELIA SANTINI FORTUNATI                      ,101,SANTA ROSA DE LIMA  ,91160810,portonovo@smed.prefpoa.com.br                     
43105246,AV NITEROI                                        ,472,MEDIANEIRA          ,90880270,emem.emiliomeyer@smed.prefpoa.com.br              
43105505,R XAVIER DE CARVALHO                              ,274,SARANDI             ,91110440,Sem e-mail                                        
43105246,AV NITEROI                                        ,472,MEDIANEIRA          ,90880270,emem.emiliomeyer@smed.prefpoa.com.br              
43177000,R SANTA TEREZINHA                                 ,572,SANTANA             ,90040180,cmet.paulofreire@smed.prefpoa.com.br              
43190499,R VINTE CINCO DE OUTUBRO                          ,295,SARANDI             ,91140500,crechemaezinhadoceu@bol.com.br                    
43190456,R FREDERICO MENTZ                                 ,118,FARRAPOS            ,90250370,CRECHEJOAOPAULOLL@YAHOO.COM.BR                    
43185304,R ULYSSES DE ALENCASTRO BRANDAO                   ,205,SARANDI             ,91140400,creche.estrelinha@hotmail.com                     
43185495,AV DONARIO BRAGA                                  ,159,RUBEM BERTA         ,91160360,rosemarycentena@hotmail.com                       
43189075,AV VINTE UM DE ABRIL                              ,1470,SARANDI             ,91120630,clube.uniao@terra.com.br                          
43189059,R SENHOR DO BOM FIM                               ,956,SARANDI             ,91140380,e.eita@ig.com.br                                  
43185398,RUA K                                             ,120,RUBEM BERTA         ,91160170,CIEC.SECRETARIA@GMAIL.COM                         
43189024,R VINTE QUATRO DE AGOSTO VL MINUANO               ,375,SARANDI             ,91110560,escola_joanadarc@hotmail.com                      
43188141,R JOSUE DE CASTRO                                 ,290,SARANDI             ,91120110,SANTACATARINA290@HOTMAIL.COM                      
43190588,AV CALDEIA                                        ,210,SARANDI             ,91130540,NUCLEO2@ACOMPAR.ORG                               
43190367,BC C VILA NAZARETH                                ,16,SARANDI             ,91060460,ieiman@terra.com.br                               
43190685,RUA DOIS MIL E SETENTA                            ,300,NAVEGANTES          ,90240300,comulherliberdade@gmail.com                       
43185410,R IRMA MARIA JOSE TREVISAN                        ,30,FARRAPOS            ,90250430,obrasocialsluiza@gmail.com                        
43190464,RUA ALÉCIO FACHINI                                ,55,RUBEM BERTA         ,91160000,educapingodegente@hotmail.com                     
43190065,R JACY BARCELLOS DE OLIVEIRA                      ,103,RUBEM BERTA         ,91160430,administrativo@acompar.org                        
43187820,R JOSEFA BARRETO                                  ,302,PASSO DAS PEDRAS    ,91230080,osicomimc@gmail.com                               
43185525,R WOLFRAM METZLER                                 ,21,RUBEM BERTA         ,91250320,escolanegrinhopastoreio@gmail.com                 
43188559,R JULIO STREGUE                                   ,55,SARANDI             ,91180030,esperancacordeiro@superig.com.br                  
43185266,RUA CRUZEIRO DO SUL                               ,2702,SANTA TEREZA        ,90840000,tgutterres@acm-rs.com.br                          
43185541,R WOLFRAM METZLER                                 ,605,RUBEM BERTA         ,91250320,iemadreteresa@gmail.com                           
43185363,R DONA BECA                                       ,120,RUBEM BERTA         ,91150000,crechegalpaozinho@gmail.com                       
43188184,R SANTA RITA DE CASSIA ILHA MARINHEIROS           ,90,ARQUIPÉLAGO         ,90090000,infantil.tiajussara@maristas.org.br               
43190618,R JOSE LUIZ MARTINS COSTA                         ,200,MARIO QUINTANA      ,91250330,escolavoana@yahoo.com.br                          
43185169,R WOLFRAM METZLER                                 ,334,RUBEM BERTA         ,91250320,larmjpraga@terra.com.br                           
43188168,R NOSSA SENHORA APARECIDA I MARINHEIROS           ,3144,ARQUIPELAGO         ,90090400,infantil.aguas@maristas.org.br                    
43185568,R JOAO BRAVO DE ALMEIDA                           ,101,SARANDI             ,91180035,associacao.instituicao@gmail.com                  
43185320,R WOLFRAM METZLER                                 ,567,RUBEM BERTA         ,91250320,clubedemaesrubemberta2@yahoo.com.br               
43187862,R PEDRO RAUPP                                     ,160,JARDIM ITU          ,91225080,escola_svp@yahoo.com.br                           
43184960,R THOMAZ FRANCISCO DE JESUS                       ,412,JARDIM CARVALHO     ,91430750,cantinhodospias@hotmail.com                       
43185371,R DEZESSEIS VILA MATO SAMPAIO                     ,623,BOM JESUS           ,91420620,creche3coracoes@gmail.com                         
43190316,R CINCO VILA VALNERI ANTUNES                      ,10,MARIO QUINTANA      ,91260350,crechetiarosa.valneriantunes@gmail.com            
43190650,AV VITORIA                                        ,35,PASSO DAS PEDRAS    ,91225040,diretoria.principedapaz@gmail.com                 
43190383,AV DEZ DE MAIO                                    ,265,PASSO DAS PEDRAS    ,91230480,alanmariatereza@gmail.com                         
43187471,R PANAMA                                          ,324,BOM JESUS           ,91420200,ong.ligadeamparo@hotmail.com                      
43185274,R J VILA FATIMA-PINTO                             ,220,BOM JESUS           ,91420120,crechensaparecida@terra.com.br                    
43189032,RUA 4                                             ,62,MORRO SANTANA       ,91450430,mundocrianca2011@hotmail.com                      
43185355,R GEN SALVADOR PINHEIRO                           ,799,VILA JARDIM         ,91320240,aelca@uol.com.br                                  
43185070,R OITO VILA MATO SAMPAIO                          ,32,BOM JESUS           ,91420591,instituicaonossasenhoradefatima@hotmail.com       
43185100,R JOSE MADRID                                     ,985,JARDIM CARVALHO     ,91430580,aline4702010@hotmail.com                          
43190014,RUA 05 V. LARANJEIRAS                             ,174,MORRO SANTANA       ,91310001,adrianaeellen12@gmail.com.br                      
43185045,TRAV. CEL ANTONIO CARNEIRO PINTO                  ,195,PETRÓPOLIS          ,90460020,mensageirosdaluz1976@hotmail.com                  
43185517,R JACINTO GOMES                                   ,683,SANTANA             ,90040270,CRECHEVILAPLANETARIO@GMAIL.COM                    
43189067,R ALMIRANTE ALVARO A DA MOTTA E SILVA             ,200,MENINO DEUS         ,90160130,lupi@cepa.org.br                                  
43187609,AV AZENHA                                         ,366,AZENHA              ,90160004,casapequenino@gmail.com                           
43190120,R BOM JESUS                                       ,610,BOM JESUS           ,91420030,creche.somai@yahoo.com.br                         
43190707,AV MARTIM FELIX BERTA                             ,2575,RUBEM BERTA         ,91270650,clubedemaess@terra.com.br                         
0,R ARMANDO PEDRO DA ROZA                           ,170,PITINGA             ,91790000,                                                  
43108865,R SAO MANOEL                                      ,1909,RIO BRANCO          ,90620110,infantillar@hotmail.com                           
43184979,R JOSE MADRID                                     ,736,JARDIM CARVALHO     ,91430580,brincandodeciranda@bol.com.br                     
43190391,AV IPIRANGA                                       ,5229,PRAIA DE BELAS      ,90160092,criancasaopedro@bol.com.br                        
43185088,R TANAUI DA SILVA BOEIRA                          ,209,LOMBA DO PINHEIRO   ,91570440,ascovipa2008@gmail.com                            
43190049,RUA PADRE ROQUE GONZALES                          ,315,LOMBA DO PINHEIRO   ,91570170,ed.infantilsaopedro@gmail.com                     
43185312,RUA RIO NEGRO - LOMBA DO PINHEIRO                 ,59,LOMBA DO PINHEIRO   ,91570330,balaomagicocreche@gmail.com                       
43183069,R SÃO MARCOS - LOMBA DO PINHEIRO                  ,150,LOMBA DO PINHEIRO   ,91570380,crechealgodaodoce@terra.com.br                    
43185207,RUA DONA FIRMINA                                  ,1583,VILA JOÃO PESSOA    ,91520210,vovoida19@gmail.com                               
43185606,LG PAINEIRAS                                      ,477,VILA JOÃO PESSOA    ,91510070,crechepaineira@uol.com.br                         
43187854,RUA D                                             ,200,PARTENON            ,91510480,creche@campodatuca.org.br                         
43185649,RUA SÃO JOSÉ VILA SÃO JOSÉ COMUNITÁRIA            ,29,VILA SÃO JOSÉ       ,91520470,escolatopogigio@gmail.com                         
43185592,RUA VIDAL DE NEGREIROS                            ,996,VILA SÃO JOSÉ       ,91520480,acomur@hotmail.com                                
43190308,TRAVESSA SÃO JOÃO                                 ,57,VILA SÃO JOSÉ       ,91520560,creche@murialdopoasocial.org.br                   
43185436,RUA MIGUEL OLVICTO DOS SANTOS                     ,71,LOMBA DO PINHEIRO   ,91550280,                                                  
43185614,R SANTA CATARINA ESTR JOÃO DE O REMIÃO            ,30,LOMBA DO PINHEIRO   ,91560000,crecheestrelamagica@hotmail.com                   
43185479,R ABACATEIRO                                      ,195,LOMBA DO PINHEIRO   ,91560480,escolapinhal@hotmail.com                          
43187382,ESTR JOÃO DE OLIVEIRA REMIÃO                      ,6269,LOMBA DO PINHEIRO   ,91130540,recreiodadivisa@gmail.com                         
43187781,R GUAIBA-LOMBA DO PINHEIRO                        ,95,LOMBA DO PINHEIRO   ,91560640,                                                  
43187137,R ERNESTO LISCANO                                 ,195,AGRONOMIA           ,91540310,cristiane-fogassafonseca@hotmail.com              
43187838,TRAV A VILA NOSSA SENHORA DA GLORIA               ,252,CASCATA             ,91710151,crechecomgloria@hotmail.com                       
43190189,AV PROF OSCAR PEREIRA                             ,4443,AZENHA              ,90640070,taciana.mazzuti@hotmail.com                       
43185185,R NOSSA SENHORA DO BRASIL-SANTA TERESA            ,83,SANTA TEREZA        ,90850510,ieicrechelardacrianca@gmail.com                   
43185053,ESTR BARCELLOS                                    ,2268,CASCATA             ,91712300,ceneamm@gmail.com                                 
43190219,R CANUDOS                                         ,625,CASCATA             ,91712340,asmovica254@gmail.com                             
43185282,R CAIXA ECONOMICA                                 ,633,SANTA TEREZA        ,90840610,amavtron@hotmail.com                              
43190405,RUA OCTAVIO DE SOUZA                              ,1818,TERESÓPOLIS         ,90840350,escolamt2017@gmail.com                            
43190537,RUA OSMAR SANTOS FREITAS                          ,40,SANTA TEREZA        ,90840405,secretaria.cencor1@hotmail.com                    
43187811,R DONA OTILIA                                     ,927,SANTA TEREZA        ,90830580,imaculatinaspoa@ig.com.br                         
43190570,R URSA MAIOR                                      ,215,CRISTAL             ,90820200,orione@donorione.org.br                           
43190553,R EUCLIDES DE ALMEIDA                             ,20,SANTA TEREZA        ,90840640,nazare@donorione.org.br                           
43190669,R PADRE NOBREGA                                   ,280,SANTA TEREZA        ,90830640,asdofatima@hotmail.com                            
43190146,AV CAI                                            ,1039,CRISTAL             ,90810120,asdoesperanca@hotmail.com                         
43190626,R OCTAVIO DE SOUZA                                ,1237,NONOAI              ,90840350,orfanatrofio2@oi.com.br                           
43190502,AV ARROIO DOS PADRES                              ,130,VILA NOVA           ,91712390,cecojare@yahoo.com.br                             
43185096,R CAIXA ECONOMICA                                 ,320,SANTA TEREZA        ,90840610,crechemedianeira@gmail.com                        
43188206,R CEL TIMOTEO                                     ,350,CAMAQUÃ             ,91910680,casadenazare@brturbo.com.br                       
43190081,RUA ADÃO ARAUJO                                   ,81,CORONEL APARÍCIO BOR,91710560,cantinho.crianca@gmail.com                        
43190634,ESTR BATILLANAS                                   ,1005,CASCATA             ,91712310,crechebatilanos@hotmail.com                       
43185118,R ARAPEI                                          ,103,CRISTAL             ,90830470,crechearapei@yahoo.com.br                         
43188540,BC UM RUA CEL TIMOTEO                             ,465,CAVALHADA           ,91910000,casadenazare@brturbo.com.br                       
43188036,ESTR COSTA GAMA                                   ,719,BELÉM VELHO         ,91787311,amparosc@bol.com.br                               
43185444,VILA ORFANOTROFIO II                              ,54,NONOAI              ,90840440,crechevomaria@gmail.com                           
43185215,R OCIDENTE                                        ,125,CASCATA             ,91710390,                                                  
43187803,BC FLORES VILA TRONCO II                          ,346,SANTA TEREZA        ,90843462,imaculatinaspoa@ig.com.br                         
43188079,R ERECHIM                                         ,1280,NONOAI              ,90830000,cecovae@yahoo.com.br                              
43185452,R DEPUTADO CUNHA BUENO                            ,21,VILA NOVA           ,91751270,cassiapeixoto2407@hotmail.com                     
43187765,R DORIVAL CASTILHO MACHADO                        ,20,HIPICA              ,91755210,angela_nunes65@yahoo.com.br                       
43184987,R AUGUSTO COMTE                                   ,80,CAVALHADA           ,91910370,comcav.csc@gmail.com                              
43187943,R EMILIA PERRONI FERNANDES                        ,100,CAMAQUA             ,91910295,                                                  
43185258,RUA  MORRO ALTO                                   ,485,ABERTA DOS MORROS   ,91751650,GISASKRIESE@GMAIL.COM                             
43185347,R PAULO MACIEL                                    ,89,VILA NOVA           ,91751350,escmeninojesus89@gmail.com                        
43201377,R DONA PAULINA                                    ,700,TRISTEZA            ,91920030,contato@aldeiadafraternidade.org.br               
43185240,RUA NOVA IPANEMA                                  ,34,HÍPICA              ,91755200,iceivi@bol.com.br                                 
43185223,R DR JULIO TEIXEIRA                               ,201,VILA NOVA           ,91751290,ju.neli.martins@gmail.com                         
43189083,R ROBERTO FELIX BERTOI                            ,25,CAMAQUÃ             ,91910540,crecherenascer@bol.com.br                         
43185142,PCA NOSSA SENHORA DE BELEM                        ,119,BELEM VELHO         ,91712240,insbenedito@ig.com.br                             
43185134,R MISSISSIPI                                      ,30,RESTINGA            ,91790430,cpm@calabria.com.br                               
43188460,R MANOEL FARIA DA ROSA PRIMO                      ,779,RESTINGA            ,91790770,restingavelha@amurt.org.br                        
43190529,R TOBAGO                                          ,570,RESTINGA            ,91790530,creche.s.rita@gmail.com                           
43185584,R TOBAGO                                          ,1258,RESTINGA            ,91790530,acobreve@gmail.com                                
43185533,ESTR BARRO VERMELHO                               ,542,RESTINGA            ,91790100,padrepedroleonardi@yahoo.com.br                   
43188125,RUA ALAMEDA D                                     ,84,RESTINGA            ,91790610,restinganova1@amurt.org.br                        
43188745,AV JUCA BATISTA                                   ,6841,IPANEMA             ,91770001,escola.bn@amurt.org.br                            
43188150,R JOSE DE ABREU FRAGA                             ,52,RESTINGA            ,91790095,barrovermelho@amurt.org.br                        
43190430,AV LUIZ FRANCISCO ZANELLA                         ,1001,RESTINGA            ,91790800,santacatarinadarestinga@yahoo.com.br              
43190677,R DOMINGOS DE ABREU                               ,290,SARANDI             ,91120090,escinfantilanjinho@terra.com.br                   
43188311,AV GUAIBA                                         ,3955,CRISTAL             ,91900420,adm31@cpij.org.br                                 
43190723,R MENEZES PAREDES                                 ,425,NONOAI              ,90830070,creche.santaanita@gmail.com                       
43190561,R JOSE LUIZ MARTINS COSTA                         ,1001,MARIO QUINTANA      ,91250330,escolinha_colorindomeudia@outlook.com             
43190545,R HONDURAS                                        ,19,BELEM VELHO         ,91787302,secretariaamnsa2017@gmail.com                     
43190375,AV PROF OSCAR PEREIRA                             ,7788,BELÉM VELHO         ,91712320,presidencia@sanatoriobelem.com.br                 
43191878,AV ADELINO FERREIRA JARDIM                        ,280,RUBEM BERTA         ,91250310,fliliane67@hotmail.com                            
43200915,R JARY                                            ,0,PASSO DA AREIA      ,91350170,crechenossosonho1@gmail.com                       
43188214,AV TRAMANDAI                                      ,395,IPANEMA             ,91760050,instituicaoaparecida@gmail.com                    
43190170,ESTR SAO FRANCISCO                                ,1172,LOMBA PINHEIRO      ,91550250,saofrancisco910@gmail.com                         
43204635,RUA DRA VERA GLUSMAN KNIJNIK                      ,40,VILA CONCEIÇÃO      ,91920073,escolagotinhasdeamor@gmail.com                    
43204660,R MONSENHOR RUBEN NEIS                            ,731,CAVALHADA           ,91920000,centrosocialagianelli@gmail.com                   
43201270,BC VITORIA                                        ,1460,LAGEADO             ,91787220,brincandoderoda@brturbo.com.br                    
43185029,R DEMETRIO RIBEIRO                                ,594,CENTRO HISTORIC     ,90010312,iprovidencia@cpovo.net                            
43204651,R DONA MARIA                                      ,50,SANTA TEREZA        ,90850280,adm37@cpij.org.br                                 
43201237,R CRISTAL DA PAZ                                  ,180,MARIO QUINTANA      ,91270844,instituicaotiahelena@hotmail.com                  
