Tipo,Inep,Nome,AbreviacaoNome,Telefone,Email
EDUCAÇÃO INFANTIL                                                                         ,43173519,EMEI PARQUE DOS MAIAS II                                ,EMEI PARQUE                   ,33673816,emei.parquedosmaias2@smed.prefpoa.com.br          
EDUCAÇÃO INFANTIL                                                                         ,43173500,EMEI DA VILA NOVA SÃO CARLOS                            ,NOVA SÃO CARLOS               ,33191146,emei.vilanovasaocarlos@smed.prefpoa.com.br        
EDUCAÇÃO INFANTIL                                                                         ,43173497,EMEI DA VILA MAPA II                                    ,VILA MAPA II                  ,33191633,emei.vilamapa2@smed.prefpoa.com.br                
EDUCAÇÃO INFANTIL                                                                         ,43175163,EMEI ILHA DA PINTADA                                    ,ILHA DA PINTADA               ,32117542,emei.ilhadapintada@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43173489,EMEI JARDIM CAMAQUÃ                                     ,JARDIM CAMAQUÃ                ,32414986,emei.jardimcamaqua@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43173470,EMEI PADRE ÂNGELO COSTA                                 ,PE ÂNGELO COSTA               ,33183108,emei.angelocosta@smed.prefpoa.com.br              
EDUCAÇÃO INFANTIL                                                                         ,43173462,EMEI PROTÁSIO ALVES                                     ,PROTÁSIO ALVES                ,33383510,emei.protasioalves@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43173454,EMEI NOVA GLEBA                                         ,NOVA GLEBA                    ,33674007,emei.novagleba@smed.prefpoa.com.br                
EDUCAÇÃO INFANTIL                                                                         ,43175155,EMEI DA VILA SANTA ROSA                                 ,SANTA ROSA                    ,33876499,emei.vilasantarosa@smed.prefpoa.com.br            
EDUCAÇÃO INFANTIL                                                                         ,43175147,EMEI HUMAITÁ                                            ,HUMAITÁ                       ,33744223,emei.humaita@smed.prefpoa.com.br                  
EDUCAÇÃO INFANTIL                                                                         ,43175139,EMEI PONTA GROSSA                                       ,PONTA GROSSA                  ,32464812,emei.pontagrossa@smed.prefpoa.com.br              
EDUCAÇÃO INFANTIL                                                                         ,43177026,EMEI DA VILA VALNERI ANTUNES                            ,VALNERI                       ,33876077,emei.vilavalneriantunes@smed.prefpoa.com.br       
EDUCAÇÃO INFANTIL                                                                         ,43181112,EMEI OSMAR DOS SANTOS FREITAS                           ,OSMAR FREITAS                 ,32666766,emei.osmarfreitas@smed.prefpoa.com.br             
EDUCAÇÃO INFANTIL                                                                         ,43181376,EMEI PAULO FREIRE                                       ,PAULO FREIRE                  ,32502430,emei.paulofreire@smed.prefpoa.com.br              
EDUCAÇÃO INFANTIL                                                                         ,43185401,EMEI MAMÃE CORUJA                                       ,MAMÃE CORUJA                  ,32310488,mamaecoruja@smed.prefpoa.com.br                   
EDUCAÇÃO INFANTIL                                                                         ,43048196,EMEI MIGUEL GRANATO VELASQUEZ                           ,MIGUEL VELASQUEZ              ,33440759,miguelvelasquez@smed.prefpoa.com.br               
EDUCAÇÃO INFANTIL                                                                         ,43141790,EMEI SANTO EXPEDITO                                     ,SANTO EXPEDITO                ,33656802,liaf.fadini@smed.prefpoa.com.br                   
ENSINO FUNDAMENTAL                                                                        ,43105440,EMEF AFONSO GUERREIRO LIMA                              ,AFONSO                        ,33191011,emef.afonsoguerreiro@smed.prefpoa.com.br          
ENSINO FUNDAMENTAL                                                                        ,43107842,EMEF SEN ALBERTO PASQUALINI                             ,PASQUALINI                    ,32501648,emef.albertopasqualini@smed.prefpoa.com.br        
ENSINO FUNDAMENTAL                                                                        ,43105459,EMEF AMÉRICA                                            ,AMÉRICA                       ,33181076,emef.america@smed.prefpoa.com.br                  
ENSINO FUNDAMENTAL                                                                        ,43105467,EMEF ARAMY SILVA                                        ,ARAMY                         ,32413382,emef.aramysilva@smed.prefpoa.com.br               
ENSINO FUNDAMENTAL                                                                        ,43105475,EMEF DÉCIO MARTINS COSTA                                ,DÉCIO                         ,33472935,emef.deciocosta@smed.prefpoa.com.br               
ENSINO FUNDAMENTAL                                                                        ,43105483,EMEF DOLORES ALCARAZ CALDAS                             ,DOLORES                       ,32501609,emef.dolorescaldas@smed.prefpoa.com.br            
ENSINO FUNDAMENTAL                                                                        ,43109071,EMEF PROF GILBERTO JORGE GONÇALVES DA SILVA             ,GILBERTO JORGE                ,32464603,emef.gilbertojorge@hotmail.com                    
ENSINO FUNDAMENTAL                                                                        ,43108571,EMEF GRANDE ORIENTE DO RGS                              ,GRANDE ORIENTE                ,33661602,emef.grandeoriente@smed.prefpoa.com.br            
ENSINO FUNDAMENTAL                                                                        ,43107508,EMEF GOV ILDO MENEGHETTI                                ,ILDO                          ,33673218,emef.ildomeneghetti@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43105491,EMEF JOSÉ LOUREIRO DA SILVA                             ,LOUREIRO                      ,32665175,emef.loureiro@escolas.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43108563,EMEF PRES JOÃO BELCHIOR MARQUES GOULART                 ,JOÃO GOULART                  ,32895939,emef.joaogoulart@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43109055,EMEF PROF JUDITH MACEDO DE ARAÚJO                       ,JUDITH                        ,33851308,emef.judithdearaujo@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43109098,EMEF PROF LARRY JOSÉ RIBEIRO ALVES                      ,LARRY ALVES                   ,32501656,emef.larry@smed.prefpoa.com.br                    
ENSINO FUNDAMENTAL                                                                        ,43109063,EMEF LEOCÁDIA FELIZARDO PRESTES                         ,LEOCÁDIA                      ,32464648,emef.leocadiaprestes@smed.prefpoa.com.br          
"EDUCAÇÃO INFANTIL, ENSINO FUNDAMENTAL, ENSINO MÉDIO, NORMAL/MAGISTÉRIO, PROFISSIONALIZANTE",43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA                ,LIBERATO                      ,33641065,emeb.liberatosalzano@smed.prefpoa.com.br          
ENSINO FUNDAMENTAL                                                                        ,43109101,EMEF VER MARTIM ARANHA                                  ,MARTIM ARANHA                 ,32666228,emef.martimaranha@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43105513,EMEF NOSSA SENHORA DE FÁTIMA                            ,FÁTIMA                        ,33383695,emef.fatima@smed.prefpoa.com.br                   
ENSINO FUNDAMENTAL                                                                        ,43105521,EMEF PEPITA DE LEÃO                                     ,PEPITA                        ,33441522,emef.pepitadeleao@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43105530,EMEF PRESIDENTE VARGAS                                  ,PRESIDENTE                    ,33481732,emef.presidentevargas@smed.prefpoa.com.br         
ENSINO FUNDAMENTAL                                                                        ,43105548,EMEF HEITOR VILLA LOBOS                                 ,VILLA                         ,33191413,emef.villalobos@smed.prefpoa.com.br               
ENSINO FUNDAMENTAL                                                                        ,43109217,EMEF JOÃO ANTONIO SATTE                                 ,JOÃO SATTE                    ,33675453,emef.joaosatte@smed.prefpoa.com.br                
ENSINO FUNDAMENTAL                                                                        ,43109195,EMEF PROF ANA IRIS DO AMARAL                            ,ANA IRIS                      ,33862690,emef.anairis@smed.prefpoa.com.br                  
ENSINO FUNDAMENTAL                                                                        ,43169490,EMEF JOSE MARIANO BECK                                  ,MARIANO                       ,33383985,emef.marianobeck@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43109080,EMEF VER CARLOS PESSOA DE BRUM                          ,PESSOA DE BRUM                ,32501698,emef.pessoadebrum@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43179002,EMEEF PROF ELYSEU PAGLIOLI                              ,ELYSEU PAGLIOLI               ,32414985,emeef.elyseupaglioli@smed.prefpoa.com.br          
ENSINO FUNDAMENTAL                                                                        ,43109233,EMEF GABRIEL OBINO                                      ,GABRIEL OBINO                 ,33155928,emef.gabrielobino@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43172482,EMEF VER ANTÔNIO GIÚDICE                                ,ANTÔNIO GIÚDICE               ,33741808,emef.antoniogiudice@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43109209,EMEF LAURO RODRIGUES                                    ,LAURO RODRIGUES               ,33481132,emef.laurorodrigues@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43109144,EMEF LIDOVINO FANTON                                    ,LIDOVINO                      ,32501702,escolalidovinofanton@gmail.com                    
ENSINO FUNDAMENTAL                                                                        ,43178995,EMEEF PROF LYGIA MORRONE AVERBUCK                       ,LYGIA                         ,33381518,emeef.lygiaaverbuck@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43109128,EMEF DEP MARCÍRIO GOULART LOUREIRO                      ,MARCÍRIO                      ,33156069,emef.marcirioloureiro@smed.prefpoa.com.br         
ENSINO FUNDAMENTAL                                                                        ,43109225,EMEF DEP VICTOR ISSLER                                  ,VICTOR ISSLER                 ,33862097,emef.victorissler@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43179010,EMEEF PROF LUIZ FRANCISCO LUCENA BORGES                 ,LUCENA                        ,33383350,emeef.lucenaborges@smed.prefpoa.com.br            
ENSINO FUNDAMENTAL                                                                        ,43172474,EMEF JEAN PIAGET                                        ,JEAN PIAGET                   ,33662480,emef.jeanpiaget@smed.prefpoa.com.br               
ENSINO FUNDAMENTAL                                                                        ,43172490,EMEF PROF ANÍSIO TEIXEIRA                               ,ANÍSIO                        ,32641540,emef.anisioteixeira@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43179029,EMEEF TRISTÃO SUCUPIRA VIANNA                           ,TRISTÃO                       ,32501527,emeef.tristaovianna@smed.prefpoa.com.br           
ENSINO FUNDAMENTAL                                                                        ,43167535,EMEF SÃO PEDRO                                          ,SAO PEDRO                     ,33191206,emef.saopedro@smed.prefpoa.com.br                 
ENSINO FUNDAMENTAL                                                                        ,43167179,EMEF SAINT HILAIRE                                      ,SAINT HILAIRE                 ,33191629,emef.sainthilaire@smed.prefpoa.com.br             
ENSINO FUNDAMENTAL                                                                        ,43173721,EMEF WENCESLAU FONTOURA                                 ,WENCESLAU                     ,32895847,emef.wenceslaufontoura@smed.prefpoa.com.br        
ENSINO FUNDAMENTAL                                                                        ,43173713,EMEF CAMPOS DO CRISTAL                                  ,CAMPOS                        ,32452077,emef.camposdocristal@smed.prefpoa.com.br          
ENSINO FUNDAMENTAL                                                                        ,43177018,EMEF MIGRANTES                                          ,MIGRANTES                     ,33711316,emef.migrantes@smed.prefpoa.com.br                
ENSINO FUNDAMENTAL                                                                        ,43175120,EMEF VILA MONTE CRISTO                                  ,MONTE CRISTO                  ,32464659,emef.montecristo@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43177034,EMEF MORRO DA CRUZ                                      ,MORRO DA CRUZ                 ,33181668,emef.morrodacruz@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43177042,EMEF NEUSA GOULART BRIZOLA                              ,NEUSA GOULART BRIZOLA         ,32469999,emef.neusabrizola@smed.prefpoa.com.br             
EJA                                                                                       ,43177050,EMEF PORTO ALEGRE                                       ,EPA                           ,32274429,emef.portoalegre@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43177581,EMEF CHICO MENDES                                       ,CHICO MENDES                  ,33876400,emef.chicomendes@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43183018,EMEF MARIO QUINTANA                                     ,MARIO QUINTANA                ,32505021,emef.marioquintana@smed.prefpoa.com.br            
ENSINO FUNDAMENTAL                                                                        ,43187560,EMEF CHAPÉU DO SOL                                      ,CHAPÉU DO SOL                 ,32683318,emef.chapeudosol@smed.prefpoa.com.br              
ENSINO FUNDAMENTAL                                                                        ,43189253,EMEF TIMBAÚVA                                           ,TIMBAÚVA                      ,33685355,emef.timbauva@smed.prefpoa.com.br                 
ENSINO FUNDAMENTAL                                                                        ,43204643,EMEF NOSSA SENHORA DO CARMO                             ,N Sª DO CARMO                 ,32614364,emefdocarmo@hotmail.com                           
ENSINO FUNDAMENTAL                                                                        ,43241000,EMEF DE SURDOS BILINGUE SALOMÃO WATNICK                 ,SALOMÃO WATNICK               ,33881125,salomao@pmpa.ad                                   
ENSINO FUNDAMENTAL                                                                        ,43293050,EMEF RINCÃO                                             ,RINCÃO                        ,32895831,emef.rincao@smed.prefpoa.com.br                   
ENSINO FUNDAMENTAL                                                                        ,43293069,EMEF MORADAS DA HÍPICA                                  ,HÍPICA                        ,33122426,moradasdahipica@gmail.com                         
NI                                                                                        ,43048200,EMEF PORTO NOVO                                         ,EMEF PORTO NOVO               ,33810112,portonovo@smed.prefpoa.com.br                     
"EDUCAÇÃO INFANTIL, ENSINO FUNDAMENTAL, ENSINO MÉDIO, NORMAL/MAGISTÉRIO)                   ",43105246,EMEM EMÍLIO MEYER                                       ,EMÍLIO MEYER                  ,32192608,emem.emiliomeyer@smed.prefpoa.com.br              
NI                                                                                        ,43105505,C M DR LIBERATO SALZANO VIEIRA DA CUNHA                 ,COL. LIBERATO                 ,3401065,Sem e-mail                                        
NI                                                                                        ,43105246,EMEM EMÍLIO MEYER  CURSO NORMAL                         ,EMÍLIO  NORMAL                ,32192608,emem.emiliomeyer@smed.prefpoa.com.br              
EJA                                                                                       ,43177000,CMET PAULO FREIRE                                       ,CMET                          ,32250804,cmet.paulofreire@smed.prefpoa.com.br              
NI                                                                                        ,43190499,5001 IEI MÃEZINHA DO CÉU                                ,5001 MÃEZINHA DO CÉU          ,33668700,crechemaezinhadoceu@bol.com.br                    
NI                                                                                        ,43190456,5002 IEI JOÃO PAULO II                                  ,5002 JOÃO PAULO II            ,33742675,CRECHEJOAOPAULOLL@YAHOO.COM.BR                    
NI                                                                                        ,43185304,5003 EEI ESTRELINHA DO CÉU                              ,5003 ESTRELINHA DO CÉU        ,33645165,creche.estrelinha@hotmail.com                     
NI                                                                                        ,43185495,5004 EEI ESTRELINHA DO AMANHÃ                           ,5004 ESTRELINHA DO AMANHÃ     ,33340223,rosemarycentena@hotmail.com                       
NI                                                                                        ,43189075,5005 IEI VILA UNIÃO                                     ,5005 VILA UNIÃO               ,33644456,clube.uniao@terra.com.br                          
NI                                                                                        ,43189059,5006 EEI TRENZINHO DA ALEGRIA                           ,5006 TRENZINHO DA ALEGRIA     ,33655844,e.eita@ig.com.br                                  
NI                                                                                        ,43185398,5007 IEI EUGÊNIA CONTE                                  ,5007 EUGENIA CONTE            ,33673267,CIEC.SECRETARIA@GMAIL.COM                         
NI                                                                                        ,43189024,5008 EEI  JOANA D'ARC                                   ,5008 JOANA DARC               ,33508487,escola_joanadarc@hotmail.com                      
NI                                                                                        ,43188141,5009 IEI SANTA CATARINA                                 ,5009 SANTA CATARINA           ,33658244,SANTACATARINA290@HOTMAIL.COM                      
NI                                                                                        ,43190588,5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO            ,5010 ACOMPAR - II             ,34145931,NUCLEO2@ACOMPAR.ORG                               
NI                                                                                        ,43190367,5011 IEI MARIA DE NAZARÉ                                ,5011 MARIA NAZARE             ,33440344,ieiman@terra.com.br                               
NI                                                                                        ,43190685,5012 EEI JESUS O BOM PASTOR                             ,5012 JESUS O BOM PASTOR       ,30241793,comulherliberdade@gmail.com                       
NI                                                                                        ,43185410,5013 IEI SANTA LUIZA                                    ,5013 SANTA LUIZA              ,33744986,obrasocialsluiza@gmail.com                        
NI                                                                                        ,43190464,5014 IEI PINGO DE GENTE                                 ,5014 PINGO DE GENTE           ,33672764,educapingodegente@hotmail.com                     
NI                                                                                        ,43190065,5015 IEI ACOMPAR NUCLEO I                               ,5015 ACOMPAR I                ,33662610,administrativo@acompar.org                        
NI                                                                                        ,43187820,5016 IEI OSICOM I                                       ,5016 OSICOM I                 ,33445159,osicomimc@gmail.com                               
NI                                                                                        ,43185525,5017 EEI NEGRINHO DO PASTOREIO                          ,5017 NEGRINHO DO PASTOREIO    ,33665808,escolanegrinhopastoreio@gmail.com                 
NI                                                                                        ,43188559,5018 IEI ESPERANÇA CORDEIRO                             ,5018 ESPERANÇA CORDEIRO       ,33488086,esperancacordeiro@superig.com.br                  
NI                                                                                        ,43185266,5019 IEI VOVÔ CAZEMIRO                                  ,5019 VOVÔ CAZEMIRO            ,32666200,tgutterres@acm-rs.com.br                          
NI                                                                                        ,43185541,5020 EEI MADRE TERESA                                   ,5020 MADRE TERESA             ,33663177,iemadreteresa@gmail.com                           
NI                                                                                        ,43185363,5021 EEI GALPÃOZINHO                                    ,5021 GALPAOZINHO              ,33741768,crechegalpaozinho@gmail.com                       
NI                                                                                        ,43188184,5022 EEI MARISTA TIA JUSSARA                            ,5022 TIA JUSSARA - USBEE      ,32031622,infantil.tiajussara@maristas.org.br               
NI                                                                                        ,43190618,5023 EEI VO ANA                                         ,5023 VO ANA                   ,996071073,escolavoana@yahoo.com.br                          
NI                                                                                        ,43185169,5024 IEI LAR DA CRIANÇA MENINO JESUS DE PRAGA           ,5024 MENINO JESUS DE PRAGA    ,33664599,larmjpraga@terra.com.br                           
NI                                                                                        ,43188168,5025 EEI MARISTA NOSSA SENHORA APARECIDA DAS AGUAS      ,5025MARISTA N SENHORA APARECI ,32031676,infantil.aguas@maristas.org.br                    
NI                                                                                        ,43185568,5026 IEI CRIANÇA ESPERANÇA                              ,5026 CRIANÇA ESPERANÇA        ,33484428,associacao.instituicao@gmail.com                  
NI                                                                                        ,43185320,5027 IEI GIRASSOL                                       ,5027 GIRASSOL                 ,33660296,clubedemaesrubemberta2@yahoo.com.br               
NI                                                                                        ,43187862,5028 EEI SÃO VICENTE DE PAULO                           ,5028 CASA CRIANÇA SÃO VICENTE ,30721754,escola_svp@yahoo.com.br                           
NI                                                                                        ,43184960,5029 EEI CANTINHO DOS PIAS                              ,5029 CANTINHO DOS PIÁS        ,33387776,cantinhodospias@hotmail.com                       
NI                                                                                        ,43185371,5030 EEI TRÊS CORAÇÕES                                  ,5030.TRÊS CORAÇÕES            ,33873108,creche3coracoes@gmail.com                         
NI                                                                                        ,43190316,5031 IEI TIA ROSA                                       ,5031 TIA ROSA                 ,33380586,crechetiarosa.valneriantunes@gmail.com            
NI                                                                                        ,43190650,5032 IEI JERUSALÉM   BEITH SHALOM                       ,5032 JERUSALÉM-BEITH SHALOM   ,33506739,diretoria.principedapaz@gmail.com                 
NI                                                                                        ,43190383,5033 IEI ALAN MARIA TEREZA                              ,5033 TIA MARIA TEREZA         ,33476431,alanmariatereza@gmail.com                         
NI                                                                                        ,43187471,5034 IEI ALAN BOM JESUS                                 ,5034 ALAN                     ,33348727,ong.ligadeamparo@hotmail.com                      
NI                                                                                        ,43185274,5035 EEI NOSSA SENHORA APARECIDA VILA PINTO             ,5035 NOSSA SENHORA APARECIDA  ,30267499,crechensaparecida@terra.com.br                    
NI                                                                                        ,43189032,5036 EEI MUNDO CRIANÇA                                  ,5036 MUNDO CRIANÇA            ,33670114,mundocrianca2011@hotmail.com                      
NI                                                                                        ,43185355,5037 IEI AELCA                                          ,5037 AELCA                    ,33346222,aelca@uol.com.br                                  
NI                                                                                        ,43185070,5038 IEI NOSSA SENHORA DE FÁTIMA -BOM JESUS             ,5038 N S FATIMA BOM JESUS     ,33816659,instituicaonossasenhoradefatima@hotmail.com       
NI                                                                                        ,43185100,5039 IEI RECANTO DOS PIAS                               ,5039 RECANTO DOS PIAS         ,33867153,aline4702010@hotmail.com                          
NI                                                                                        ,43190014,5040 IEI SAGRADA FAMÍLIA                                ,5040 SAGRADA FAMÍLIA          ,992726241,adrianaeellen12@gmail.com.br                      
NI                                                                                        ,43185045,5041 EEI MENSAGEIROS DA LUZ                             ,41 LAR DO MENOR MENSAGEIROS DA,33352849,mensageirosdaluz1976@hotmail.com                  
NI                                                                                        ,43185517,5042 IEI PIU PIU                                        ,5042 PIU PIU                  ,30296737,CRECHEVILAPLANETARIO@GMAIL.COM                    
NI                                                                                        ,43189067,5043 IEI LUPICINIO RODRIGUES                            ,5043 LUPICINIO RODRIGUES      ,32110416,lupi@cepa.org.br                                  
NI                                                                                        ,43187609,5044 EEI CASA DO PEQUENINO                              ,5044 CASA DO PEQUENINO        ,32230043,casapequenino@gmail.com                           
NI                                                                                        ,43190120,5045 EEI SOMAI                                          ,5045 SOMAI LAR DAS MENINAS    ,33343312,creche.somai@yahoo.com.br                         
NI                                                                                        ,43190707,5046 IEI NSA SRA DE FÁTIMA NOVO MUNDO                   ,5046 N S FATIMA NOVO MUNDO    ,33876460,clubedemaess@terra.com.br                         
NI                                                                                        ,0,5047 EEI GOTAS DE ESPERANÇA                             ,5047 GOTAS DE ESPERANÇA       ,                    ,                                                  
NI                                                                                        ,43108865,5048 IEI HELOISA BECKER                                 ,5048 HELOISA BECKER           ,32233714,infantillar@hotmail.com                           
NI                                                                                        ,43184979,5049 IEI BRINCANDO DE CIRANDA                           ,5049 BRINCANDO DE CIRANDA     ,33814301,brincandodeciranda@bol.com.br                     
NI                                                                                        ,43190391,5050 EEI NSA SRA APARECIDA SÃO PEDRO                    ,5050 NOSSA SENHORA APARECIDA  ,33223047,criancasaopedro@bol.com.br                        
NI                                                                                        ,43185088,5051 EEI TURMA DO BARULHO                               ,5051 TURMA DO BARULHO         ,30265796,ascovipa2008@gmail.com                            
NI                                                                                        ,43190049,5052 EEI SÃO PEDRO                                      ,5052 SÃO PEDRO                ,31784511,ed.infantilsaopedro@gmail.com                     
NI                                                                                        ,43185312,5053 IEI BALÃO MÁGICO                                   ,5053 BALÃO MÁGICO             ,33360254,balaomagicocreche@gmail.com                       
NI                                                                                        ,43183069,5054 EEI CASA DA CRIANÇA ALGODÃO DOCE                   ,5054 ALGODÃO DOCE             ,30192458,crechealgodaodoce@terra.com.br                    
NI                                                                                        ,43185207,5055 IEI VOVÓ IDA                                       ,5055 VOVO IDA                 ,33223213,vovoida19@gmail.com                               
NI                                                                                        ,43185606,5056 EEI PAINEIRAS                                      ,5056 PAINEIRAS                ,33393110,crechepaineira@uol.com.br                         
NI                                                                                        ,43187854,5057 EEI CAMPO DA TUCA                                  ,5057 CAMPO DA TUCA            ,33220971,creche@campodatuca.org.br                         
NI                                                                                        ,43185649,5058 EEI TOPO GIGIO                                     ,5058 TOPO GIGIO               ,33158057,escolatopogigio@gmail.com                         
NI                                                                                        ,43185592,5059 EEI ACOMUR                                         ,5059 ACOMUR                   ,33183231,acomur@hotmail.com                                
NI                                                                                        ,43190308,5060 IEI MURIALDO                                       ,5060 MURIALDO                 ,33152960,creche@murialdopoasocial.org.br                   
NI                                                                                        ,43185436,5061 IEI VÓ BELINHA                                     ,5061 VÓ BELINHA               ,33521742,                                                  
NI                                                                                        ,43185614,5062 IEI ESTRELA MAGICA                                 ,5062 ESTRELA MÁGICA           ,33520881,crecheestrelamagica@hotmail.com                   
NI                                                                                        ,43185479,5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL           ,5063 Nª S APARECIDA VILA PINHA,33194651,escolapinhal@hotmail.com                          
